Photon   	Incoher.	
Energy   	Scatter.	

1.000E-03	1.494E-02	
1.500E-03	2.356E-02	
2.000E-03	3.100E-02	
3.000E-03	4.481E-02	
4.000E-03	5.716E-02	
4.038E-03	5.759E-02	
4.038E-03	5.759E-02	
5.000E-03	6.795E-02	
6.000E-03	7.722E-02	
8.000E-03	9.173E-02	
1.000E-02	1.024E-01	
1.500E-02	1.206E-01	
2.000E-02	1.322E-01	
3.000E-02	1.439E-01	
4.000E-02	1.481E-01	
5.000E-02	1.491E-01	
6.000E-02	1.486E-01	
8.000E-02	1.454E-01	
1.000E-01	1.411E-01	
1.500E-01	1.298E-01	
2.000E-01	1.201E-01	
3.000E-01	1.053E-01	
4.000E-01	9.465E-02	
5.000E-01	8.660E-02	
6.000E-01	8.019E-02	
8.000E-01	7.052E-02	
1.000E+00	6.344E-02	
1.022E+00	6.278E-02	
1.250E+00	5.675E-02	
1.500E+00	5.158E-02	
2.000E+00	4.403E-02	
2.044E+00	4.349E-02	
3.000E+00	3.465E-02	
4.000E+00	2.891E-02	
5.000E+00	2.496E-02	
6.000E+00	2.207E-02	
7.000E+00	1.983E-02	
8.000E+00	1.805E-02	
9.000E+00	1.659E-02	
1.000E+01	1.537E-02	
1.100E+01	1.434E-02	
1.200E+01	1.345E-02	
1.300E+01	1.267E-02	
1.400E+01	1.198E-02	
1.500E+01	1.138E-02	
1.600E+01	1.084E-02	
1.800E+01	9.904E-03	
2.000E+01	9.133E-03	
2.200E+01	8.482E-03	
2.400E+01	7.926E-03	
2.600E+01	7.442E-03	
2.800E+01	7.022E-03	
3.000E+01	6.649E-03	
4.000E+01	5.283E-03	
5.000E+01	4.410E-03	
6.000E+01	3.800E-03	
8.000E+01	2.996E-03	
1.000E+02	2.487E-03	
1.500E+02	1.772E-03	
2.000E+02	1.389E-03	
3.000E+02	9.844E-04	
4.000E+02	7.708E-04	
5.000E+02	6.382E-04	
6.000E+02	5.463E-04	
8.000E+02	4.267E-04	
1.000E+03	3.510E-04	
1.500E+03	2.452E-04	
2.000E+03	1.898E-04	
3.000E+03	1.319E-04	
4.000E+03	1.018E-04	
5.000E+03	8.327E-05	
6.000E+03	7.061E-05	
8.000E+03	5.441E-05	
1.000E+04	4.442E-05	
1.500E+04	3.070E-05	
2.000E+04	2.361E-05	
3.000E+04	1.627E-05	
4.000E+04	1.250E-05	
5.000E+04	1.018E-05	
6.000E+04	8.601E-06	
8.000E+04	6.595E-06	
1.000E+05	5.366E-06	
